block_number,timestamp,tx_index,tx_hash,from,to,input,value_wei,value_eth,decode_type,prefix,dest_evm,dest_move,dest_base58,dest_base58_hex,dest_solana_like,dest_xrp,dest_initia,dest_initia_hex,chain_ids,decode_error
35101229,1756991805,81,0xf0e5f42e45a666e5ac5217826a735f0fc14ff13c0fcfb466f8fc7756b4127128,0x427cb8ed6c8b25dac04f7fe0061e70c90ef68b29,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101ae,1363500013635000,0.001363500013635,SELF,0x01,,,,,,,,,"[{""id"":430,""name"":""HyperEVM"",""nativeId"":999}]",
35101234,1756991815,195,0x45293f6249ef8634e964aee7aceb9fca3934d481786e25fff43fbf5f65f7a50c,0x59139d70ff6908b25c90f07b924ca80c51c43b2d,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101e5,22713438178564,0.000022713438178564,SELF,0x01,,,,,,,,,"[{""id"":485,""name"":""Katana"",""nativeId"":747474}]",
35101248,1756991843,167,0x199d25a4036d02a5ac871bc4e48c5a1ec56dd3d7e853f77e250b264f12c35996,0x6f686b152869b4b68a8d323d196c37de7b859812,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0100f0,218160002181600,0.0002181600021816,SELF,0x01,,,,,,,,,"[{""id"":240,""name"":""Gravity"",""nativeId"":1625}]",
35101248,1756991843,212,0xedf5c7d0f0a6145683e3db2fab5d21e01bb2d72a6bab7ced8d9fe19c5b6c3082,0xa361c35e9c8f49eeb5b39629689b7c6ee5c2be4a,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x02185c04cdd6c8db95909b2459def0dd0a29a3a3ad00ff,453124291993293,0.000453124291993293,EVM,0x02,0x185c04cdd6c8db95909b2459def0dd0a29a3a3ad,,,,,,,,"[{""id"":255,""name"":""Ethereum"",""nativeId"":1}]",
35101252,1756991851,65,0x17663d80d2b22aa253304b98eb1ca307cc27a45501896c2ce41c5253f8e51edf,0x068de19ce0b8f2cbabd943417f27e777cc0972c4,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x010039,454633281429367,0.000454633281429367,SELF,0x01,,,,,,,,,"[{""id"":57,""name"":""Arbitrum One"",""nativeId"":42161}]",
35101262,1756991871,126,0x61ccb41633a4b9295d5ce8d0d74b6ce745e5428a8dcb789823ec4c30d6ff57b9,0x431c75e5a084e80501402ddd703f9df6f6c240cf,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101ae,2499960227905465,0.002499960227905465,SELF,0x01,,,,,,,,,"[{""id"":430,""name"":""HyperEVM"",""nativeId"":999}]",
35101267,1756991881,17,0x10b4a67f1ba73ea2dc2bf1a3b99b3a3ac360d3d46b5938aa27f310f1b522fae7,0xa1e00ac58bf4c22c451216c7caefb906f1d20eb5,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0100ff,1136583203573418,0.001136583203573418,SELF,0x01,,,,,,,,,"[{""id"":255,""name"":""Ethereum"",""nativeId"":1}]",
35101267,1756991881,124,0x1c5606e4db8e4f96d50fb0979bc159d49214abba6698f114e01bf4c594a50b0b,0x09dfa0d77125978997dd9f94a0f870d3f2900da5,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x010039,113634555813885,0.000113634555813885,SELF,0x01,,,,,,,,,"[{""id"":57,""name"":""Arbitrum One"",""nativeId"":42161}]",
35101271,1756991889,138,0x9a55cec3c2cfc1afff46eff4ed19ab2b356efb0a679334902a9c14318b283e0b,0xdf9c23e9de78212f41e3ae40660c197735d35c40,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101ae,2954498451161004,0.002954498451161004,SELF,0x01,,,,,,,,,"[{""id"":430,""name"":""HyperEVM"",""nativeId"":999}]",
35101275,1756991897,60,0x418286cdfb8f1c30f48a667c256f99421da1d5329339b29036bc3c12e9287393,0x4b787ea73ef189fc900514186e89c519a532666d,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x01003b,2956375005315209,0.002956375005315209,SELF,0x01,,,,,,,,,"[{""id"":59,""name"":""Linea"",""nativeId"":59144}]",
35101282,1756991911,67,0xbf6b82a1e1340b2b5e2d244727e651e2a8988420f7874b23ae1705e6b51ea001,0x1663c4b25340fbd21dd0181bf45ca13f29954ea6,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0223cbf77ae392ea60b8ff42441f5beae0b63616820036,72685643676803,0.000072685643676803,EVM,0x02,0x23cbf77ae392ea60b8ff42441f5beae0b6361682,,,,,,,,"[{""id"":54,""name"":""Base Mainnet"",""nativeId"":8453}]",
35101297,1756991941,15,0x43fe32994084b68ee59afc537f18e86f8847df20868ff27b2ec9be72a6c065df,0x5661328304d88ed60e096f71cd0d012726a272c7,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101ae,2039604588657079,0.002039604588657079,SELF,0x01,,,,,,,,,"[{""id"":430,""name"":""HyperEVM"",""nativeId"":999}]",
35101302,1756991951,100,0xa927b4fb27996e796f06039b0c5b8814cd11ba536a8bfc1db7d2095f0bae0c16,0x493b34aa14c4ab76775d11694fe2710157e1a6a2,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101ae,908539590748341,0.000908539590748341,SELF,0x01,,,,,,,,,"[{""id"":430,""name"":""HyperEVM"",""nativeId"":999}]",
35101310,1756991967,187,0x356a48656831780c9ff9815446e0849ad3fc2d27a766e52cfc73936ed0a860d4,0x4769d47b2192cb78f0844d579735dcafffe7776d,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101ae,1362809386122512,0.001362809386122512,SELF,0x01,,,,,,,,,"[{""id"":430,""name"":""HyperEVM"",""nativeId"":999}]",
35101311,1756991969,69,0x4a05c5ebf15df07899acb12d3e4b0ea6ce820db9e8316c96b6f8eb7cc814d370,0x3c5280df2f0ed3dd2f0ef7ac158980b704020944,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x01000e,22706939694910,0.00002270693969491,SELF,0x01,,,,,,,,,"[{""id"":14,""name"":""BSC Mainnet"",""nativeId"":56}]",
35101312,1756991971,206,0xe09164b8e1d23df734083750a58057a2fd076c8ea85d9f3464e6dfde4cec0724,0x3b1973b2c8ba649928f1f3c29f1932aaaded728f,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101ae,115577593357234,0.000115577593357234,SELF,0x01,,,,,,,,,"[{""id"":430,""name"":""HyperEVM"",""nativeId"":999}]",
35101319,1756991985,53,0x7d2dced0d4fc1f4e0aa12b220c253c0396c9880a117a8ffbc3be1e414baa709c,0x37a86b2442d89e61cd2efda395e9221f101e0748,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x03a192dfb6f3338d5f277229bd2f5d837756b2d884bccd20639b1994ab6df0f5ca00f5,681802686302584,0.000681802686302584,BASE58,0x03,,,BsiY3ut886p9xatr65PDisHJcWQnUAHKQVD6D7fQ89q3,0xa192dfb6f3338d5f277229bd2f5d837756b2d884bccd20639b1994ab6df0f5ca,true,,,,"[{""id"":245,""name"":""Solana"",""nativeId"":501474}]",
35101327,1756992001,146,0xc137752eb271dc7f81a6febb975ff4c17c6f676e9ade575c3a913fe99e7d11e3,0x8df2498720364ce3e47b99763c1258911ef1f4a0,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0100ff,467762957715137,0.000467762957715137,SELF,0x01,,,,,,,,,"[{""id"":255,""name"":""Ethereum"",""nativeId"":1}]",
35101338,1756992023,202,0x1a3de72d3a449a2950eb9fd79e8aaf7d0d9538d7da1ff720071cbb1975df1883,0x3e0b12cba1f57f9e5cc265058d133a3e7fcab4be,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101ae,2724659531086095,0.002724659531086095,SELF,0x01,,,,,,,,,"[{""id"":430,""name"":""HyperEVM"",""nativeId"":999}]",
35101341,1756992029,87,0x11c55d971968f1ab91ef3121148d677fd1a292a983c482348b091b2164525ec0,0xf1d97e43553a64bf75e801163f59ddb1012f4b99,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0100ff,340000000000000,0.00034,SELF,0x01,,,,,,,,,"[{""id"":255,""name"":""Ethereum"",""nativeId"":1}]",
35101345,1756992037,145,0x0d7d705e13514af86e477c80802f3624cf4f47184b41310bb58e8f8e0f404383,0xda17a2a669fc8af4487d9356c6cb77a15d2b81f5,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0100ff,500000000000000,0.0005,SELF,0x01,,,,,,,,,"[{""id"":255,""name"":""Ethereum"",""nativeId"":1}]",
35101346,1756992039,29,0x5248f6a6e925e7bb7d3baf6177a384c19c1fb87be2f6644f1864046ea9082dab,0xdbb4cba9edf95245ca910a12f6e1ec473c087461,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x010154,36328793747814590,0.03632879374781459,SELF,0x01,,,,,,,,,"[{""id"":340,""name"":""Morph"",""nativeId"":2818}]",
35101349,1756992045,170,0x56c432b6d0c025e9410011560c21823e471b14dc6aeea394a0711f20fa4952de,0xa4e5fcc5d6ba73175e47db5655acd0020fdabd87,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101ae,2270178481432210,0.00227017848143221,SELF,0x01,,,,,,,,,"[{""id"":430,""name"":""HyperEVM"",""nativeId"":999}]",
35101356,1756992059,41,0x14bbdc89b3a0af860e14c052dcf843122f7a77acce75d9aa0385b1dcce684b38,0x84483fd26d4348d6fcb683fbc6ce75739d0e2322,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101ae,226911731336510,0.00022691173133651,SELF,0x01,,,,,,,,,"[{""id"":430,""name"":""HyperEVM"",""nativeId"":999}]",
35101358,1756992063,215,0xa27794b61806d8040c2ea4afd65ae4a40ad30dd14ccb55393be3afb2e792a5f1,0x6367a156623e2c42262384934f2c34f7a93aa1a5,0x391e7c679d29bd940d63be94ad22a25d25b5a604,0x0101b1,181614278514577,0.000181614278514577,SELF,0x01,,,,,,,,,"[{""id"":433}]",
